   1 	    10.6462 
   2 	    19.4112 
   3 	    27.9703 
   4 	    36.6791 
   5 	    45.1562 
   6 	    53.6800 
   7 	    62.3983 
   8 	    71.0822 
   9 	    79.6055 
  10 	    88.2538 
  11 	    96.8200 
  12 	   105.4404 
  13 	   114.0252 
  14 	   122.6554 
  15 	   131.2124 
  16 	   139.8116 
  17 	   148.4615 
  18 	   157.0643 
  19 	   165.6759 
  20 	   174.3616 
  21 	   182.9677 
  22 	   191.4918 
  23 	   200.1647 
  24 	   208.7811 
  25 	   217.3796 
  26 	   225.9806 
  27 	   234.5269 
  28 	   243.2305 
  29 	   251.8122 
  30 	   260.3655 
  31 	   268.9618 
  32 	   277.5516 
  33 	   286.1427 
  34 	   294.6335 
  35 	   303.3562 
  36 	   311.9288 
  37 	   320.5652 
  38 	   329.2869 
  39 	   337.9032 
  40 	   346.3823 
  41 	   355.0543 
  42 	   363.6077 
  43 	   372.2604 
  44 	   380.9615 
  45 	   389.4153 
  46 	   398.0748 
  47 	   406.6850 
  48 	   415.3443 
  49 	   423.8173 
  50 	   432.4617 
  51 	   441.1156 
